epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.992,1.50047,1.36124,1.06067,0.9702,0.9603,0.97766,0.5833,1.41841,0.67167,1.04092,0.00333155,0.00333155,0.00333155
2,536.51,1.43791,0.68906,1.03646,0.96055,0.95079,0.97922,0.59357,1.40688,0.62628,1.05064,0.00664289,0.00664289,0.00664289
3,789.337,1.4317,0.67522,1.04149,0.97566,0.95999,0.98149,0.58996,1.41758,0.6106,1.05555,0.00993223,0.00993223,0.00993223
4,1041.28,1.41491,0.65416,1.0434,0.98002,0.97285,0.98687,0.62449,1.3392,0.57625,1.03356,0.009901,0.009901,0.009901
5,1293.69,1.36748,0.60933,1.02945,0.97803,0.97769,0.98423,0.63078,1.3148,0.54677,1.02806,0.009868,0.009868,0.009868
6,1546,1.34072,0.58644,1.0203,0.97798,0.97874,0.98656,0.6449,1.30717,0.51298,1.0271,0.009835,0.009835,0.009835
7,1797.56,1.32433,0.57029,1.01769,0.97892,0.98037,0.98881,0.64681,1.30019,0.49092,1.02556,0.009802,0.009802,0.009802
8,2049.64,1.30726,0.55752,1.01141,0.98355,0.98353,0.98992,0.65204,1.29037,0.4788,1.02029,0.009769,0.009769,0.009769
9,2301.87,1.30435,0.55146,1.0087,0.98137,0.98235,0.98924,0.65434,1.28049,0.47175,1.01872,0.009736,0.009736,0.009736
10,2553.9,1.29741,0.54647,1.00665,0.98255,0.98458,0.98963,0.65967,1.26916,0.46535,1.01405,0.009703,0.009703,0.009703
11,2805.88,1.28814,0.53928,1.00512,0.98038,0.98475,0.98894,0.65856,1.26875,0.46258,1.01339,0.00967,0.00967,0.00967
12,3058.14,1.28219,0.53595,1.00445,0.98172,0.98554,0.98937,0.66006,1.26636,0.45886,1.01384,0.009637,0.009637,0.009637
13,3310.26,1.27794,0.53099,1.00335,0.98188,0.98579,0.98958,0.6612,1.26424,0.45504,1.01309,0.009604,0.009604,0.009604
14,3561.78,1.27355,0.52797,1.00073,0.9828,0.98609,0.99019,0.66307,1.26299,0.45303,1.01232,0.009571,0.009571,0.009571
15,3813.43,1.27112,0.52709,1.00093,0.98254,0.98617,0.9898,0.6627,1.26455,0.45098,1.01287,0.009538,0.009538,0.009538
16,4065.57,1.26904,0.5232,1.00042,0.98255,0.98638,0.9899,0.66417,1.26304,0.45023,1.01248,0.009505,0.009505,0.009505
17,4317.42,1.26064,0.52104,0.99716,0.98324,0.98647,0.99003,0.66548,1.26145,0.44936,1.01201,0.009472,0.009472,0.009472
18,4569.21,1.26162,0.51997,0.99733,0.98348,0.9868,0.99027,0.665,1.26088,0.44869,1.01177,0.009439,0.009439,0.009439
19,4820.95,1.25556,0.51815,0.99503,0.98344,0.98651,0.99037,0.66527,1.26017,0.4479,1.01156,0.009406,0.009406,0.009406
20,5072.72,1.25783,0.51632,0.99602,0.98366,0.98644,0.9904,0.6662,1.25921,0.44623,1.01126,0.009373,0.009373,0.009373
21,5324.27,1.25158,0.51319,0.99423,0.98406,0.98651,0.99053,0.66603,1.259,0.44518,1.01128,0.00934,0.00934,0.00934
22,5575.87,1.24936,0.51364,0.99357,0.98428,0.98668,0.99066,0.66682,1.25817,0.44446,1.01108,0.009307,0.009307,0.009307
23,5827.57,1.24761,0.51008,0.99401,0.98449,0.98699,0.99066,0.66645,1.25796,0.44355,1.011,0.009274,0.009274,0.009274
24,6079.49,1.24847,0.50886,0.99356,0.98476,0.98735,0.99076,0.66736,1.2574,0.44263,1.01081,0.009241,0.009241,0.009241
25,6331.26,1.244,0.50833,0.99209,0.98474,0.98717,0.99078,0.66688,1.25766,0.44224,1.01097,0.009208,0.009208,0.009208
26,6582.62,1.2446,0.50666,0.99272,0.98497,0.98718,0.99082,0.66704,1.25712,0.44169,1.01074,0.009175,0.009175,0.009175
27,6834.36,1.24081,0.5059,0.99273,0.9849,0.98699,0.99081,0.66766,1.25676,0.44104,1.01055,0.009142,0.009142,0.009142
28,7085.92,1.24173,0.50589,0.9914,0.98474,0.98698,0.99083,0.6684,1.25627,0.43986,1.01032,0.009109,0.009109,0.009109
29,7337.9,1.24286,0.50501,0.99124,0.98506,0.98689,0.99097,0.66871,1.25623,0.43929,1.01013,0.009076,0.009076,0.009076
30,7589.85,1.23519,0.5028,0.99016,0.98511,0.9869,0.99099,0.66853,1.25577,0.43875,1.00979,0.009043,0.009043,0.009043
31,7841.44,1.23841,0.50393,0.99038,0.98505,0.9868,0.99105,0.66858,1.25549,0.43828,1.00964,0.00901,0.00901,0.00901
32,8092.92,1.23485,0.50194,0.98948,0.98518,0.98627,0.9911,0.66835,1.25532,0.43783,1.00953,0.008977,0.008977,0.008977
