epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11322,1.15285,0.46,0.99248,0.99164,0.98724,0.993,0.71421,1.11267,0.36416,0.9972,0.0091882,0.0091882,0.0091882
43,11591.5,1.14865,0.4579,0.98965,0.9918,0.98754,0.9932,0.71499,1.11011,0.36367,0.99636,0.0091684,0.0091684,0.0091684
44,11860.4,1.14856,0.4572,0.99134,0.99186,0.98768,0.99315,0.71512,1.10713,0.36308,0.99546,0.0091486,0.0091486,0.0091486
45,12129.3,1.14611,0.45761,0.99084,0.99161,0.98773,0.99317,0.71583,1.10458,0.36249,0.9947,0.0091288,0.0091288,0.0091288
46,12398.3,1.14744,0.45786,0.99054,0.9916,0.98768,0.9931,0.71624,1.10183,0.36186,0.99385,0.009109,0.009109,0.009109
47,12667.5,1.1435,0.45616,0.9897,0.99155,0.98768,0.9931,0.71652,1.09891,0.36114,0.99297,0.0090892,0.0090892,0.0090892
48,12936.6,1.14137,0.45482,0.98806,0.99199,0.98768,0.9932,0.71727,1.09657,0.3608,0.99226,0.0090694,0.0090694,0.0090694
49,13205.7,1.13837,0.45474,0.98746,0.99196,0.98789,0.99317,0.718,1.09452,0.36039,0.99168,0.0090496,0.0090496,0.0090496
50,13474.2,1.13745,0.45502,0.98754,0.99208,0.98818,0.99324,0.71826,1.09266,0.36015,0.99119,0.0090298,0.0090298,0.0090298
51,13743.1,1.1376,0.45453,0.98662,0.9921,0.98822,0.99326,0.71847,1.09061,0.35963,0.99052,0.00901,0.00901,0.00901
52,14012,1.13683,0.45276,0.98757,0.99175,0.98819,0.99322,0.71949,1.08801,0.35915,0.98976,0.0089902,0.0089902,0.0089902
53,14280.8,1.13584,0.45277,0.98683,0.99202,0.98832,0.99318,0.72004,1.086,0.35844,0.98918,0.0089704,0.0089704,0.0089704
54,14549.5,1.1342,0.45229,0.9872,0.99181,0.9882,0.99308,0.72038,1.08391,0.3578,0.98858,0.0089506,0.0089506,0.0089506
55,14818.4,1.13211,0.45114,0.98591,0.99175,0.98798,0.99297,0.72063,1.08188,0.35761,0.98794,0.0089308,0.0089308,0.0089308
56,15087.2,1.12828,0.44974,0.98521,0.99202,0.98794,0.99296,0.72111,1.07975,0.35705,0.9873,0.008911,0.008911,0.008911
57,15356.1,1.13053,0.45189,0.98462,0.99219,0.988,0.99311,0.72131,1.07791,0.35648,0.98671,0.0088912,0.0088912,0.0088912
58,15624.8,1.13283,0.45212,0.98523,0.99235,0.98814,0.99319,0.72164,1.07582,0.35629,0.98602,0.0088714,0.0088714,0.0088714
59,15893.9,1.12847,0.45101,0.98525,0.9919,0.988,0.9931,0.72265,1.07406,0.35589,0.98541,0.0088516,0.0088516,0.0088516
60,16162.6,1.12714,0.45079,0.9837,0.99206,0.988,0.99311,0.72263,1.07203,0.35545,0.98478,0.0088318,0.0088318,0.0088318
61,16431.5,1.12339,0.44844,0.98333,0.9922,0.98805,0.99311,0.72268,1.07009,0.35481,0.98417,0.008812,0.008812,0.008812
62,16700.4,1.12324,0.45053,0.98331,0.99214,0.98805,0.9931,0.7234,1.06817,0.35451,0.98356,0.0087922,0.0087922,0.0087922
63,16969.3,1.12225,0.44817,0.98275,0.99245,0.98802,0.99305,0.72349,1.06647,0.35443,0.98308,0.0087724,0.0087724,0.0087724
64,17238.1,1.12064,0.44791,0.98257,0.99233,0.98827,0.99323,0.72433,1.06465,0.35417,0.98252,0.0087526,0.0087526,0.0087526
65,17507,1.11925,0.44533,0.98142,0.99236,0.98832,0.99328,0.72494,1.06325,0.3537,0.98202,0.0087328,0.0087328,0.0087328
66,17775.9,1.12099,0.44881,0.9828,0.99253,0.98843,0.99341,0.72582,1.06135,0.35325,0.98157,0.008713,0.008713,0.008713
67,18045,1.11716,0.44641,0.9816,0.99269,0.98822,0.9934,0.72647,1.0597,0.35292,0.98104,0.0086932,0.0086932,0.0086932
68,18313.9,1.11855,0.4473,0.98181,0.99264,0.98816,0.99326,0.72706,1.05795,0.3524,0.98053,0.0086734,0.0086734,0.0086734
69,18582.9,1.11652,0.44706,0.98053,0.99267,0.98811,0.99335,0.72738,1.05644,0.35199,0.98007,0.0086536,0.0086536,0.0086536
70,18851.9,1.11519,0.44651,0.98031,0.99272,0.98822,0.99343,0.72781,1.05526,0.35182,0.97963,0.0086338,0.0086338,0.0086338
71,19120.9,1.11574,0.44538,0.9814,0.99255,0.98827,0.99342,0.72787,1.0537,0.35155,0.97934,0.008614,0.008614,0.008614
72,19389.6,1.11224,0.44478,0.98036,0.9924,0.98811,0.99329,0.72851,1.05204,0.35106,0.97889,0.0085942,0.0085942,0.0085942
73,19658.6,1.11206,0.44613,0.98045,0.99257,0.988,0.99328,0.7288,1.05041,0.35085,0.97841,0.0085744,0.0085744,0.0085744
74,19927.4,1.10702,0.44292,0.97904,0.99245,0.98797,0.99326,0.72923,1.04866,0.35045,0.97795,0.0085546,0.0085546,0.0085546
75,20196.3,1.11018,0.44426,0.97968,0.9924,0.98805,0.9934,0.73001,1.04781,0.35016,0.97769,0.0085348,0.0085348,0.0085348
76,20465.2,1.11329,0.44638,0.97871,0.99251,0.98818,0.99345,0.73013,1.04674,0.34952,0.97757,0.008515,0.008515,0.008515
77,20734.3,1.10989,0.44523,0.97923,0.99245,0.98813,0.99334,0.73005,1.04622,0.34941,0.97732,0.0084952,0.0084952,0.0084952
78,21003.3,1.10811,0.4431,0.97916,0.99242,0.98822,0.99333,0.73082,1.04509,0.34898,0.9769,0.0084754,0.0084754,0.0084754
79,21272.3,1.10919,0.44391,0.97906,0.99244,0.98822,0.99348,0.73101,1.04397,0.34859,0.97669,0.0084556,0.0084556,0.0084556
80,21541.3,1.10511,0.44297,0.97789,0.99229,0.98835,0.99349,0.73203,1.04288,0.34847,0.97632,0.0084358,0.0084358,0.0084358
81,21810.4,1.10669,0.44257,0.97787,0.99263,0.98811,0.99345,0.73177,1.04148,0.34825,0.97584,0.008416,0.008416,0.008416
82,22079.3,1.10371,0.44124,0.97734,0.99272,0.98816,0.99347,0.7322,1.04021,0.34822,0.97542,0.0083962,0.0083962,0.0083962
83,22348.4,1.10462,0.44254,0.97692,0.99256,0.98824,0.99349,0.7321,1.03891,0.3479,0.97498,0.0083764,0.0083764,0.0083764
84,22617.3,1.10301,0.44357,0.97844,0.99298,0.98832,0.99353,0.73236,1.03751,0.34766,0.97455,0.0083566,0.0083566,0.0083566
85,22886.2,1.10066,0.44057,0.97606,0.99289,0.98827,0.99346,0.73241,1.03568,0.3473,0.97407,0.0083368,0.0083368,0.0083368
86,23155.4,1.10125,0.44043,0.97722,0.99277,0.98832,0.99348,0.73308,1.03471,0.34679,0.97378,0.008317,0.008317,0.008317
87,23424.5,1.1011,0.44159,0.97706,0.99288,0.98843,0.99352,0.73353,1.03351,0.34657,0.97342,0.0082972,0.0082972,0.0082972
88,23693.6,1.09866,0.44066,0.97652,0.99277,0.98816,0.99349,0.73387,1.03212,0.34637,0.97311,0.0082774,0.0082774,0.0082774
89,23962.5,1.09805,0.43936,0.97528,0.99274,0.98838,0.99355,0.73418,1.03156,0.34583,0.97291,0.0082576,0.0082576,0.0082576
90,24231.5,1.09719,0.43897,0.97603,0.99267,0.98847,0.99356,0.73438,1.03004,0.34558,0.97247,0.0082378,0.0082378,0.0082378
91,24500.3,1.09727,0.43881,0.97472,0.99257,0.98876,0.99365,0.73487,1.02839,0.34507,0.97198,0.008218,0.008218,0.008218
92,24769.3,1.09471,0.43957,0.97387,0.99269,0.9887,0.99367,0.73488,1.02761,0.34481,0.97165,0.0081982,0.0081982,0.0081982
93,25038.3,1.09279,0.43736,0.97363,0.99305,0.9883,0.99364,0.73551,1.02704,0.34443,0.97143,0.0081784,0.0081784,0.0081784
94,25307,1.09486,0.43677,0.97531,0.99228,0.98859,0.99357,0.73583,1.02614,0.34445,0.97116,0.0081586,0.0081586,0.0081586
95,25575.8,1.09104,0.43679,0.9737,0.99246,0.98869,0.99351,0.7356,1.02472,0.34425,0.97071,0.0081388,0.0081388,0.0081388
96,25844.3,1.09238,0.43839,0.9739,0.99253,0.98859,0.99356,0.73575,1.02349,0.34404,0.97045,0.008119,0.008119,0.008119
97,26113,1.09219,0.43732,0.97424,0.99278,0.98803,0.99361,0.73536,1.02232,0.3441,0.97013,0.0080992,0.0080992,0.0080992
98,26381.7,1.08922,0.43757,0.97375,0.99251,0.98804,0.9936,0.73574,1.02104,0.34411,0.96975,0.0080794,0.0080794,0.0080794
99,26650.4,1.08758,0.43566,0.97188,0.99224,0.98847,0.99359,0.73657,1.01998,0.34353,0.96933,0.0080596,0.0080596,0.0080596
100,26919.1,1.0892,0.43669,0.97302,0.99231,0.98832,0.99359,0.73632,1.01912,0.34349,0.96907,0.0080398,0.0080398,0.0080398
101,27187.8,1.08564,0.43565,0.97214,0.99278,0.98882,0.9937,0.73553,1.01805,0.34345,0.9688,0.00802,0.00802,0.00802
102,27456.6,1.08747,0.43586,0.97294,0.99262,0.98873,0.9937,0.73591,1.01713,0.34354,0.9686,0.0080002,0.0080002,0.0080002
103,27725.1,1.08647,0.43501,0.9725,0.99273,0.98885,0.99362,0.73646,1.01657,0.34301,0.96836,0.0079804,0.0079804,0.0079804
104,27993.8,1.08206,0.43466,0.9713,0.99261,0.98892,0.99363,0.73656,1.01583,0.34268,0.96811,0.0079606,0.0079606,0.0079606
105,28262.8,1.08376,0.43295,0.97199,0.99273,0.98891,0.99363,0.73694,1.01474,0.34236,0.96777,0.0079408,0.0079408,0.0079408
