epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.064,1.49883,1.34474,1.04471,0.97141,0.95751,0.97605,0.57587,1.42435,0.68109,1.03112,0.00333155,0.00333155,0.00333155
2,536.202,1.4361,0.68835,1.03043,0.97122,0.9626,0.98311,0.61482,1.38175,0.60706,1.03364,0.0065989,0.0065989,0.0065989
3,790.751,1.43327,0.672,1.03974,0.96275,0.95848,0.97496,0.57195,1.44755,0.6838,1.07483,0.00980025,0.00980025,0.00980025
4,1042.92,1.41448,0.6534,1.0415,0.97603,0.96945,0.98202,0.61658,1.34851,0.60684,1.03479,0.009703,0.009703,0.009703
5,1296.28,1.36628,0.60559,1.02823,0.98052,0.97584,0.98704,0.62651,1.33445,0.53959,1.03094,0.009604,0.009604,0.009604
6,1549.27,1.34023,0.58396,1.01824,0.98008,0.98011,0.98743,0.63903,1.31344,0.50994,1.02598,0.009505,0.009505,0.009505
7,1802.33,1.32617,0.56854,1.01654,0.98003,0.9797,0.98834,0.64702,1.30239,0.49126,1.02469,0.009406,0.009406,0.009406
8,2054.75,1.30788,0.55591,1.01081,0.98049,0.98192,0.98916,0.65164,1.2919,0.4913,1.01973,0.009307,0.009307,0.009307
9,2306.48,1.30302,0.5481,1.00721,0.98154,0.98117,0.98892,0.65959,1.27816,0.46943,1.0166,0.009208,0.009208,0.009208
10,2557.82,1.29473,0.54349,1.00544,0.98232,0.97829,0.98887,0.65817,1.27399,0.47058,1.01426,0.009109,0.009109,0.009109
11,2809.3,1.28564,0.53807,1.00396,0.98298,0.98319,0.98967,0.66139,1.26567,0.45918,1.01144,0.00901,0.00901,0.00901
12,3103.79,1.27978,0.532,1.00371,0.98382,0.9855,0.99033,0.66343,1.26317,0.4552,1.01247,0.008911,0.008911,0.008911
13,3355.59,1.27459,0.52771,1.00229,0.98298,0.98361,0.98969,0.66537,1.26125,0.45787,1.0119,0.008812,0.008812,0.008812
14,3607.03,1.2704,0.52292,0.99933,0.98239,0.98483,0.98973,0.66558,1.26097,0.45809,1.01132,0.008713,0.008713,0.008713
15,3859.73,1.26544,0.52154,0.99868,0.98311,0.98475,0.98942,0.66491,1.26098,0.45556,1.01124,0.008614,0.008614,0.008614
16,4111.79,1.26518,0.51939,0.99855,0.98407,0.98479,0.9901,0.66526,1.2609,0.4542,1.01091,0.008515,0.008515,0.008515
17,4363.38,1.25516,0.51444,0.99522,0.98384,0.98506,0.99033,0.66565,1.26007,0.45187,1.01075,0.008416,0.008416,0.008416
18,4615,1.2542,0.51356,0.99492,0.98356,0.98529,0.99047,0.66572,1.25958,0.45184,1.01078,0.008317,0.008317,0.008317
19,4866.7,1.24802,0.51046,0.99257,0.98355,0.98546,0.99046,0.66622,1.25888,0.45206,1.01059,0.008218,0.008218,0.008218
20,5118.01,1.25083,0.50853,0.99366,0.98358,0.9855,0.99064,0.66537,1.25901,0.45097,1.0106,0.008119,0.008119,0.008119
21,5369.94,1.24341,0.50423,0.99184,0.98405,0.98554,0.99069,0.6658,1.25885,0.4493,1.01073,0.00802,0.00802,0.00802
22,5621.21,1.23998,0.50417,0.99038,0.98435,0.98563,0.99076,0.66625,1.25777,0.44692,1.01045,0.007921,0.007921,0.007921
23,5872.74,1.23839,0.5012,0.99096,0.98438,0.98575,0.99082,0.66586,1.25711,0.44591,1.01029,0.007822,0.007822,0.007822
24,6123.81,1.23869,0.49922,0.99008,0.98514,0.98533,0.99088,0.66634,1.25642,0.44417,1.01013,0.007723,0.007723,0.007723
